Category,Part Number,Description,Vendor,Quantity,in Drawing,,,,,,,,,,,,
custom,ASF-10002,Mirror Mount Jogged,Custom/Shop,2,,,,,,,,,,,,,
custom,ASF-10003,Aperture Mount W/SLOT,Custom/Shop,2,,,,,,,,,,,,,
objectives,UPLSAPO 100XS,"UPLSAPO 100XS; U PLAN S-APO 100X Silicone OIL OBJ,NA 1.35, WD 0.2 ",Olympus,2,OBJ0 & OBJ1,,,,,,,,,,,,
adaptiveoptics,Multi-5.5,Multi-DM MEMS Deformable Mirros,BMC,2,DM0 & DM1,,,,,,,,,,,,
optics - ImgSep,MRAK25-P01,"Right-Angle Prism Dielectric Mirror, 400 - 750 nm, L = 25.0 mm",Thorlabs,1,M17,,,,,,,,,,,,
optics,DBL14017/100,90.0MM EFL X 25.0MM Dia. ACHROMAT SINGLE-LAYER MgF2 VISIBLE,JML Optics,2,L3 and L4,,,,,,,,,,,,
optics,NT47-640,"Achromatic Lens 25mm Dia. x 85mm FL, VIS 0 Coating",Edmund Optics,2,L1 and L2,,,,,,,,,,,,
optics,NT49-280,"Achromatic Lens 40mm Dia. x 300mm FL, VIS 0 Coating",Edmund Optics,3,L0 and L5,,,,,,,,,,,,
optics,NT47-641,"Achromatic Lens 25mm Dia. x 100mm FL, VIS 0 Coating",Edmund Optics,1,,,,,,,,,,,,,
optics,W-4PISMSN,BK7 and quartz wedges,UVisIR,1,W0 and W1,,,,,,,,,,,,
optics,LAO-350.0-25.0,"Standard 400-700-nm Cemented Achromats, f 350 mm, diameter 25 mm",CVI Melles Griot,2,L6 and L7,,,,,,,,,,,,
optics,DLB-15-100PM,"Achromatic doublets, 15 mm Dia. x 100 mm FL, 400-700 nm",OptoSigma,2,L8 and L9,,,,,,,,,,,,
optics,NT47-009,Non-Polarizing Cube Beam splitter 25mm VIS ,Edmund Optics,1,BS0,,,,,,,,,,,,
optics,10FC16PB.3,"Broadband Polarizing Cube Beam splitter, 25.4 x 25.4 x 25.4 mm, 420-680 nm",Newport,1,,,,,,,,,,,,,
optics,NT49-002,Polarizing Cube Beam splitter 25mm VIS ,Edmund Optics,1,PBS0,,,,,,,,,,,,
optics,AQWP05M-600-UM-SP,"Achromatic 1/4 wave plate 400800nm, unmounted (Custom)",Thorlabs,2,QWP1 and QWP1,,,,,,,,,,,,
optics,FSR-KG1,"Colored Glass Filter, 25.4 mm Diameter, Heat Absorbing, KG.1",Newport,1,,,,,,,,,,,,,
optics,10Z40ER.2,"Broadband Metallic Mirror, Zerodur, 25.4 mm Diameter, _/20, 480-20,000 nm",Newport,14,M3-M16,,,,,,,,,,,,
optics,FF01-446/523/600/677-25,446/523/600/677 nm BrightLine quad-band bandpass filter - 25 mm x 3.5 mm,Semrock,2,,,,,,,,,,,,,
optics,Di01-R405/488/561/635-17.5x24 ,"405/488/561/635 BrightLine Laser Dichroic Beam splitter, 17.5 x 24.0 mm",Semrock,2,DI0 and DI1,,,,,,,,,,,,
optics-filters,ET700/75m,Emissin filter in filter wheel Sputter/Hard Coated 700nm/75nm,Chroma,1,,,,,,,,,,,,,
EM filters,FF01-600/52-25,600/52 nm BrightLine¨ single-band bandpass filter,Semrock,1,,,,,,,,,,,,,
Optics-excitation,FF01-390/482/563/640-25,390/482/563/640 nm BrightLine¨ quad-band bandpass filter,Semrock,1,CF,,,,,,,,,,,,
Optomechanical,CXY1,"CXY1 - 30 mm Cage System, XY Translating Lens Mount for ¯1"" Optics",Thorlabs,2,,,,,,,,,,,,,
Optomechanical,LM2XY_M,"LM2XY/M - Translating Lens Mount for ¯2"" Optics, 1 Retaining Ring Included, Metric",Thorlabs,1,,,,,,,,,,,,,
